Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
01/25/2015 21:23,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,BAYVIEW,NONE,900 Block of TENNESSEE ST,-122.3894349,37.75914331
01/25/2015 21:13,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,RICHMOND,NONE,2800 Block of TURK ST,-122.451998,37.77805012
01/25/2015 21:00,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Sunday,INGLESIDE,NONE,1200 Block of ALEMANY BL,-122.4310765,37.73049711
01/25/2015 21:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Sunday,CENTRAL,NONE,400 Block of STOCKTON ST,-122.4069776,37.7899181
01/25/2015 21:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,NORTHERN,NONE,200 Block of LARKIN ST,-122.4167912,37.78004461
01/25/2015 21:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,INGLESIDE,NONE,1700 Block of SUNNYDALE AV,-122.417108,37.71225618
01/25/2015 21:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,CENTRAL,NONE,MONTGOMERY ST / PINE ST,-122.402574,37.79189814
01/25/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,2400 Block of SAN BRUNO AV,-122.4049525,37.73073762
01/25/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,INGLESIDE,NONE,PERALTA AV / HOLLADAY AV,-122.4049392,37.74822255
01/25/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,2500 Block of 3RD ST,-122.3879977,37.75666781
01/25/2015 21:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Sunday,BAYVIEW,NONE,0 Block of APOLLO ST,-122.3978455,37.73221443
01/25/2015 21:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,NORTHERN,NONE,200 Block of LARKIN ST,-122.4167912,37.78004461
01/25/2015 21:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,100 Block of HAIGHT ST,-122.4246411,37.77278948
01/25/2015 21:00,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,BAYVIEW,NONE,LANE ST / THOMAS AV,-122.3912916,37.73041162
01/25/2015 21:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,RICHMOND,NONE,5100 Block of ANZA ST,-122.5033579,37.7773661
01/25/2015 20:55,ROBBERY,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN,Sunday,MISSION,NONE,300 Block of POTRERO AV,-122.4075449,37.7651193
01/25/2015 20:54,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,CENTRAL,"ARREST, BOOKED",PINE ST / HYDE ST,-122.4172096,37.7900459
01/25/2015 20:54,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,CENTRAL,"ARREST, BOOKED",PINE ST / HYDE ST,-122.4172096,37.7900459
01/25/2015 20:45,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.4063464,37.77916742
01/25/2015 20:45,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,SOUTHERN,"ARREST, BOOKED",200 Block of 6TH ST,-122.4063464,37.77916742
01/25/2015 20:40,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/25/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,700 Block of PACIFIC AV,-122.4080147,37.79669972
01/25/2015 20:30,NON-CRIMINAL,FOUND PROPERTY,Sunday,SOUTHERN,NONE,1600 Block of HOWARD ST,-122.4172179,37.77103865
01/25/2015 20:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,CENTRAL,NONE,BEACH ST / JONES ST,-122.4172651,37.80707305
01/25/2015 20:30,ASSAULT,BATTERY,Sunday,NORTHERN,NONE,1100 Block of GEARY BL,-122.4222154,37.78552781
01/25/2015 20:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/25/2015 20:09,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
01/25/2015 20:05,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,TENDERLOIN,NONE,LEAVENWORTH ST / TURK ST,-122.4140563,37.78279311
01/25/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,TARAVAL,NONE,1200 Block of 10TH AV,-122.467517,37.76491242
01/25/2015 20:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,INGLESIDE,NONE,200 Block of MORSE ST,-122.4396938,37.71284403
01/25/2015 20:00,SEX OFFENSES FORCIBLE,SEXUAL BATTERY,Sunday,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.4664582,37.74357778
01/25/2015 20:00,SEX OFFENSES FORCIBLE,ANNOY OR MOLEST CHILDREN,Sunday,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.4664582,37.74357778
01/25/2015 20:00,OTHER OFFENSES,CONTRIBUTING TO THE DELINQUENCY OF MINOR,Sunday,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.4664582,37.74357778
01/25/2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,TURK ST / MASON ST,-122.4089536,37.78328787
01/25/2015 20:00,OTHER OFFENSES,RESTRAINING ORDER NOTIFICATION/SERVICE OF RESTRAINING ORDER,Sunday,TARAVAL,"ARREST, BOOKED",100 Block of TARAVAL ST,-122.4664582,37.74357778
01/25/2015 20:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,TARAVAL,NONE,1200 Block of IRVING ST,-122.4711456,37.76387961
01/25/2015 20:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,PARK,NONE,1900 Block of GEARY BL,-122.4362485,37.78404842
01/25/2015 19:58,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,RICHMOND,NONE,2700 Block of BUSH ST,-122.4425531,37.78580692
01/25/2015 19:54,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Sunday,BAYVIEW,CLEARED-CONTACT JUVENILE FOR MORE INFO,SILVER AV / BAY SHORE BL,-122.4046584,37.7329487
01/25/2015 19:45,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,SOUTHERN,NONE,10TH ST / FOLSOM ST,-122.4128266,37.77281156
01/25/2015 19:45,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,CENTRAL,NONE,FRONT ST / CALIFORNIA ST,-122.3987864,37.79336011
01/25/2015 19:44,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,SOUTHERN,"ARREST, BOOKED",MARKET ST / 6TH ST,-122.4102935,37.78223059
01/25/2015 19:40,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,NORTHERN,NONE,3200 Block of PIERCE ST,-122.4393685,37.79993194
01/25/2015 19:35,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,RICHMOND,NONE,GEARY BL / 19TH AV,-122.4783055,37.78038102
01/25/2015 19:31,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,MISSION,NONE,4500 Block of 19TH ST,-122.4404634,37.7589809
01/25/2015 19:30,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,NORTHERN,NONE,1900 Block of GREENWICH ST,-122.4317847,37.79952659
01/25/2015 19:27,ASSAULT,BATTERY,Sunday,PARK,NONE,1500 Block of HAIGHT ST,-122.4477831,37.76995495
01/25/2015 19:15,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,CENTRAL,NONE,1600 Block of STOCKTON ST,-122.4092128,37.80092508
01/25/2015 19:15,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,BAYVIEW,NONE,SAN BRUNO AV / BACON ST,-122.4035953,37.7276341
01/25/2015 19:13,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,HARRISON ST / LAPU-LAPU ST,-122.3983455,37.78180003
01/25/2015 19:05,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,INGLESIDE,NONE,COLLEGE AV / SAINT MARYS AV,-122.427839,37.73469507
01/25/2015 19:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,500 Block of THE EMBARCADERONORTH ST,-122.3985869,37.79998931
01/25/2015 19:00,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Sunday,NORTHERN,NONE,LARKIN ST / BUSH ST,-122.4186583,37.78890984
01/25/2015 18:50,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,100 Block of NORTHPOINT ST,-122.4097236,37.80711542
01/25/2015 18:30,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,TARAVAL,NONE,46TH AV / JUDAH ST,-122.5059285,37.76042174
01/25/2015 18:30,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
01/25/2015 18:30,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,TENDERLOIN,NONE,EDDY ST / HYDE ST,-122.4158851,37.78351606
01/25/2015 18:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,200 Block of KING ST,-122.3931106,37.77731032
01/25/2015 18:26,SECONDARY CODES,JUVENILE INVOLVED,Sunday,INGLESIDE,JUVENILE BOOKED,200 Block of HAHN ST,-122.4163895,37.71121235
01/25/2015 18:26,WARRANTS,WARRANT ARREST,Sunday,INGLESIDE,JUVENILE BOOKED,200 Block of HAHN ST,-122.4163895,37.71121235
01/25/2015 18:06,NON-CRIMINAL,FOUND PROPERTY,Sunday,INGLESIDE,NONE,0 Block of BRITTON ST,-122.4123276,37.71328545
01/25/2015 18:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,NORTHERN,NONE,BROADWAY ST / SCOTT ST,-122.4398547,37.79364757
01/25/2015 18:00,VEHICLE THEFT,STOLEN TRUCK,Sunday,INGLESIDE,NONE,100 Block of VELASCO AV,-122.413352,37.70820246
01/25/2015 18:00,FORGERY/COUNTERFEITING,"COUNTERFEITING, POSSESSION COINS OR NOTES",Sunday,CENTRAL,NONE,0 Block of DRUMM ST,-122.3965564,37.79411691
01/25/2015 18:00,TRESPASS,TRESPASSING,Sunday,CENTRAL,NONE,0 Block of DRUMM ST,-122.3965564,37.79411691
01/25/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,700 Block of BROADWAY ST,-122.4091648,37.79761461
01/25/2015 18:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,TARAVAL,NONE,200 Block of RANDOLPH ST,-122.4648595,37.71434529
01/25/2015 18:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,CENTRAL,NONE,600 Block of PACIFIC AV,-122.4060348,37.79694693
01/25/2015 18:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,NORTHERN,NONE,500 Block of FILLMORE ST,-122.4308516,37.77445525
01/25/2015 18:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,SOUTHERN,NONE,FOLSOM ST / 9TH ST,-122.4116124,37.77376796
01/25/2015 18:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Sunday,BAYVIEW,NONE,HAWES ST / FITZGERALD AV,-122.3894618,37.71992851
01/25/2015 18:00,OTHER OFFENSES,FALSE PERSONATION,Sunday,NORTHERN,NONE,500 Block of FILLMORE ST,-122.4308516,37.77445525
01/25/2015 18:00,NON-CRIMINAL,LOST PROPERTY,Sunday,TARAVAL,NONE,100 Block of TARAVAL ST,-122.4664582,37.74357778
01/25/2015 18:00,ASSAULT,BATTERY,Sunday,CENTRAL,NONE,0 Block of DRUMM ST,-122.3965564,37.79411691
01/25/2015 18:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,1000 Block of MISSISSIPPI ST,-122.3937357,37.7529681
01/25/2015 17:42,NON-CRIMINAL,AIDED CASE,Sunday,INGLESIDE,NONE,200 Block of VIENNA ST,-122.4275635,37.72438409
01/25/2015 17:39,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.4196718,37.76505012
01/25/2015 17:39,OTHER OFFENSES,PROBATION VIOLATION,Sunday,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.4196718,37.76505012
01/25/2015 17:39,NON-CRIMINAL,"STAY AWAY OR COURT ORDER, NON-DV RELATED",Sunday,MISSION,"ARREST, BOOKED",16TH ST / MISSION ST,-122.4196718,37.76505012
01/25/2015 17:39,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,RICHMOND,"ARREST, BOOKED",MARTIN LUTHER KING JR DR / LINCOLN WY,-122.5093996,37.76402983
01/25/2015 17:37,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,200 Block of TOCOLOMA AV,-122.3977515,37.71241396
01/25/2015 17:35,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,INGLESIDE,NONE,100 Block of KINGSTON ST,-122.4217733,37.74158175
01/25/2015 17:32,NON-CRIMINAL,FOUND PROPERTY,Sunday,SOUTHERN,NONE,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441
01/25/2015 17:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,5TH ST / HARRISON ST,-122.4018464,37.77903241
01/25/2015 17:00,NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,0 Block of THE EMBARCADERONORTH ST,-122.3881699,37.78595902
01/25/2015 17:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,NORTHERN,NONE,500 Block of FILLMORE ST,-122.4308516,37.77445525
01/25/2015 17:00,FRAUD,IMPERSONATING A POLICE OFFICER,Sunday,INGLESIDE,NONE,800 Block of GENEVA AV,-122.4418649,37.71760344
01/25/2015 17:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Sunday,INGLESIDE,NONE,800 Block of GENEVA AV,-122.4418649,37.71760344
01/25/2015 17:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Sunday,BAYVIEW,NONE,700 Block of JERROLD AV,-122.373376,37.72976921
01/25/2015 17:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,CLEMENT ST / 30TH AV,-122.4902313,37.78177353
01/25/2015 16:45,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,TARAVAL,"ARREST, BOOKED",OCEAN AV / JUNIPERO SERRA BL,-122.4717969,37.7310311
01/25/2015 16:41,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,NORTHERN,NONE,2200 Block of FILLMORE ST,-122.4341852,37.79027379
01/25/2015 16:34,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,NORTHERN,NONE,300 Block of HERMANN ST,-122.4309002,37.77008273
01/25/2015 16:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,700 Block of BROADWAY ST,-122.4091648,37.79761461
01/25/2015 16:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,MISSION,NONE,14TH ST / MISSION ST,-122.4199834,37.76827268
01/25/2015 16:30,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,CENTRAL,NONE,400 Block of NORTHPOINT ST,-122.4146138,37.80639279
01/25/2015 16:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,RICHMOND,NONE,SCOTT ST / CALIFORNIA ST,-122.4387764,37.78827859
01/25/2015 16:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,2500 Block of 3RD ST,-122.3879977,37.75666781
01/25/2015 16:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,BAYVIEW,NONE,ILLINOIS ST / 22ND ST,-122.3873163,37.75800217
01/25/2015 16:15,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,CENTRAL,NONE,BAY ST / THE EMBARCADERONORTH ST,-122.4055651,37.80661715
01/25/2015 16:15,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,BAYVIEW,NONE,600 Block of JAMESTOWN AV,-122.3878337,37.71310723
01/25/2015 16:14,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Sunday,SOUTHERN,"ARREST, BOOKED",700 Block of MISSION ST,-122.40307,37.78526863
01/25/2015 16:14,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,SOUTHERN,"ARREST, BOOKED",700 Block of MISSION ST,-122.40307,37.78526863
01/25/2015 16:01,NON-CRIMINAL,LOST PROPERTY,Sunday,SOUTHERN,NONE,MARKET ST / 4TH ST,-122.4058325,37.78574465
01/25/2015 16:00,NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE,300 Block of POWELL ST,-122.4083843,37.78782711
01/25/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,NORTHERN,NONE,LARKIN ST / BUSH ST,-122.4186583,37.78890984
01/25/2015 16:00,ASSAULT,BATTERY,Sunday,BAYVIEW,NONE,600 Block of DEHARO ST,-122.4013299,37.76163438
01/25/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,RICHMOND,NONE,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
01/25/2015 16:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,PARK,NONE,15TH ST / NOE ST,-122.4332569,37.76586093
01/25/2015 16:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,MISSION,NONE,200 Block of SAN JOSE AV,-122.4215838,37.75122864
01/25/2015 16:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Sunday,BAYVIEW,NONE,1400 Block of OAKDALE AV,-122.3875278,37.73305497
01/25/2015 15:45,ROBBERY,ATTEMPTED ROBBERY CHAIN STORE WITH BODILY FORCE,Sunday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
01/25/2015 15:45,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Sunday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
01/25/2015 15:45,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Sunday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
01/25/2015 15:45,NON-CRIMINAL,FOUND PROPERTY,Sunday,SOUTHERN,NONE,800 Block of MISSION ST,-122.4053955,37.78351007
01/25/2015 15:45,MISSING PERSON,MISSING ADULT,Sunday,SOUTHERN,NONE,MINNA ST / 6TH ST,-122.408163,37.78053454
01/25/2015 15:45,MISSING PERSON,FOUND PERSON,Sunday,SOUTHERN,NONE,MINNA ST / 6TH ST,-122.408163,37.78053454
01/25/2015 15:45,NON-CRIMINAL,CASE CLOSURE,Sunday,SOUTHERN,NONE,MINNA ST / 6TH ST,-122.408163,37.78053454
01/25/2015 15:33,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.4074744,37.77991167
01/25/2015 15:33,WARRANTS,WARRANT ARREST,Sunday,SOUTHERN,"ARREST, BOOKED",100 Block of 6TH ST,-122.4074744,37.77991167
01/25/2015 15:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,NORTHERN,NONE,1400 Block of POLK ST,-122.4206606,37.79009982
01/25/2015 15:30,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE,2200 Block of STOCKTON ST,-122.4104744,37.80649569
01/25/2015 15:30,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,TARAVAL,NONE,0 Block of LEE AV,-122.4541582,37.71912352
01/25/2015 15:29,NON-CRIMINAL,FOUND PROPERTY,Sunday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4321162,37.78003044
